num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
140,96,39,3,2,1,26,0,0
73,54,18,0,0,0,10,0,0
1390,350,531,0,0,14,101,1,0
1961,556,714,0,0,1,43,2,0
225,140,77,0,0,0,17,0,0
181,117,44,0,0,0,21,1,1
46,38,19,1,1,0,0,0,0
292,164,32,0,0,3,31,0,0
202,134,67,1,1,0,9,0,0
642,306,227,0,0,0,20,2,0
59,49,18,0,0,0,7,0,0
1184,206,95,0,0,1,405,0,0
230,122,89,0,0,0,16,0,0
76,59,36,0,0,0,1,0,0
51,36,19,0,0,0,3,0,0
495,227,208,1,1,2,22,3,1
69,62,23,0,0,0,4,0,0
287,179,87,0,0,0,22,0,1
94,81,11,0,0,0,32,1,0
210,126,71,0,0,0,9,0,1
620,275,178,8,2,3,38,2,0
115,86,33,1,1,1,4,1,0
100,68,29,0,0,1,1,0,0
4304,518,470,112,1,3,1311,0,0
44,37,19,0,0,0,1,0,1
